num,id,review,rating,sentiment
0,1,John McClane er ennþá badass. Fínasta actionmynd og klassískur sumarsmellur.,8,Positive
1,2,Kannski svolítið róleg á köflum en fín spennumynd.,7,Positive
2,3,Mögnuð mynd. Tarantino alveg að standa sig.,7,Positive
3,4,Algjör snilld! Sprenghlægileg. Alveg biðarinnar virði.,9,Positive
4,5,Töff mynd  og bara nokkuð fyndin. Fínasta skemmtun.,8,Positive
5,6,Kick ass mynd. Ekta Michael Bay action. Fínasta nostalgía... Samt ekki alveg að kaupa Anthony Anderson sem einhvern mega hakkara ;,8,Positive
6,7,Fín grínmynd. Nóg af góðum oneliners. Maður þarf bara að passa sig að hugsa ekki of mikið ; Skelltu inn skemmtilegu tribute til Whos on first?,7,Positive
7,8,"Nonstop action baby! Já, já... hörku spennumynd. riðja myndin er ekki síðri en hinar bara betri ef eitthvað er. etta er alveg efni í mega franchise  James Bond þarf að passa sig ;",9,Positive
8,9,Frekar stupid mynd. Martin Lawrence var látinn spila aðeins of mikið út á það er farið svo illa með mig af því að ég er svartur  þeir brandarar voru ekki alveg að slá í gegn. Ein af þessum myndum sem maður klárar bara til að sjá hvernig hún endar  þótt hún hafi verið frekar fyrirsjáanleg. Fær  stjörnu fyrir sæmileg action atriði og aðra stjörnu af því maður gat hlegið  sinnum.,2,Negative
9,10,John Travolta og Uma Thurman komin aftur í mynd  þau taka meira að segja smá Pulp Fiction dans. Ekkert óskarshandrit eða leikur  en ágæt afþreying.,6,Positive
10,11,"gæt superhero mynd, fínt action. Jessica Alba skemmir heldur ekki fyrir ;",6,Positive
11,12,g var ekki alveg að fíla hvað sumir hlutar af myndinni vöru dökkir  mér finnst skemmtilegra að sjá almennilega hvað er að gerast ; Kannski vildi Baltasar bara hafa sem eðlilegasta lýsingu... Skemmtilegt að sjá hinar ýmsu íslensku byggingar í nýjum hlutverkum. Hin fínasta mynd  maður var reyndar stundum ekki alveg að ná að fylgja nákvæmlega hvað var í gangi...,6,Positive
12,13,"Mögnuð mynd  virkilega flott. Töff action atriði  smá Matrix stíll í gangi eins og við mátti búast. Natalie Portman brillerar eins og venjulega. 

Líka skemmtilegar pælingar varðandi hversu mikið vald ríkið á að hafa og hvað þú hefur mikil áhrif ef þú ræður yfir fjölmiðlunum.",9,Positive
13,14,Endalaust fyndin mynd. Með betri grínmyndum sem maður hefur séð nýlega.,8,Positive
14,15,Bara nokkuð góð mynd. Ef fólk fílar hryllingsspennumyndir þá er þessi málið. Heldur manni alveg á nálum ;,7,Positive
15,16,"Fínasta afþreying. eir sem hafa séð Lock, Stock.. ættu að kannast við einn eða tvo leikara ;",6,Positive
16,17,"Fínasta mynd  mjög fyndin og vel gerð. Flott framlag í íslensku kvikmyndaflóruna  meira svona, takk. eir þurftu náttúrulega að skella inn smá Leeroy Jenkins brandara sem takmarkaður hópur myndi fatta.",7,Positive
17,18,Mindless violence. gæt actionslagsmálamynd.,6,Positive
18,19,Hrikalega fyndin. Mikið af vandræðalegum bröndurum ; Magnaðir karakterar... McLovin maður :,8,Positive
19,20,Fínasti vestri... samt eitthvað... manni fannst sumir hlutir svolítið skrítnir. En mjög vel gerð  góður leikur og vel leikstýrð.,6,Positive
20,21,"Töff mynd. Frekar brútal á köflum. Gott stöff  góðir karakterar, gott handrit...",7,Positive
