,id,sentiment,review
0,1,8,john mcclane ennþá badass fínn actionmynd klassískur sumarsmellur
1,2,7,kannski svolítið rólegur kafli fínn spennumynd
2,3,7,magnaður mynd tarantino alveg standa sig
3,4,9,algjör snilld sprenghlægilegur alveg bið virði
4,5,8,töff mynd bara fyndinn fínn skemmtun
5,6,8,kick ass mynd ekt michael bay action fínn nostalgía ekki alveg_NEG kaupa_NEG anthony_NEG anderson_NEG mega_NEG hakkur_NEG
6,7,7,fínn grínmynd nógur góður oneliners maður þurfa bara passa hugsa ekki mikið_NEG skella skemmtilegur tribute whos on firða
7,8,9,nonstopur action baby já já harka spennumynd þriðji mynd ekki síðri_NEG bara_NEG góður_NEG vera_NEG alveg efni mega franchise james bond þurfa passa
8,9,2,frekar stupidur mynd mart lawrence vera láta spila aðeins mikill far illa svartur brandari ekki alveg_NEG slá_NEG gegn_NEG munu maður klára bara sjá hvernig endi hafa vera frekar fyrirsjáanlegur fá stjarna sæmilegur action atriði stjarna maður geta hlæja sinn
9,10,6,john travolti uma thurman koma aftur mynd taka mikill segja smá pulpur fiction dans óskarshandrit leika ágætur afþreying
10,11,6,ágætur superhero mynd fínn action jessica alba skemma ekki
11,12,6,vera ekki alveg_NEG fíll_NEG hluti_NEG mynd_NEG vara_NEG dökkur_NEG finna_NEG skemmtilegur_NEG sjá_NEG almennilega_NEG gera_NEG kannski vilja baltasar bara hafa eðlilegur lýsing skemmtilegur sjá íslenskur bygging nýr hlutverk fínn mynd maður vera reyndar stundum ekki alveg_NEG ná_NEG fylgja_NEG nákvæmlega_NEG vera_NEG gangur_NEG
12,13,9,magnaður mynd virkilega flottur töff action atriði smár matrix stíll ganga mega búa natalie portman brillera venjulega líkur skemmtilegur pæling varða hversu mikill vald ríki hafa hafa mikill áhrif ráða fjölmiðill
13,14,8,endalaust fyndinn mynd góður grínmynd maður hafa sjá nýlega
14,15,7,bara góður mynd fólk fíll hryllingsspennumynd mál maður alveg nál
15,16,6,fínn afþreying hafa sjá lock stock eiga kanna tveir leikari
16,17,7,fínn mynd mjög fyndinn vel gerð flottur framlag íslenskur kvikmyndaflóra mikill svona takk þurfa náttúrulega skella smá leeroyja jenkins brandari takmarkaður hópur munu fatta
17,18,6,mindless violence ágætur actionslagsmálamynd
18,19,8,hrikalega fyndinn mikill vandræðalegur brandari magnaður karakter mclovin maður
19,20,6,fínn vestur einhver maður finna hlutur svolítið skrítinn mjög vel gerð góður leikur vel leikstýrður
20,21,7,töff mynd frekar brútal kafli góður staff góður karakter góður handrit
21,22,4,jahá góður ok vegur vel þekktur leikari heldri hlutverk maður eiginlega hálf vonsvikinn vera ekki hægur_NEG gera_NEG góður_NEG mynd_NEG maður verða eiginlega kenna handrit ogeða leikstjóri um mynd eiga alveg góður móment uma thurman vera svolítið ofleika sækó gella karakter vera tónlist aðeins cheesy minna svona týpískur tónlist vera ofnotaður s mynd
22,23,6,verða tékka mynd maður afmæli náttúrulega michael jorda david beckham tala staður já joel schumacher búa maður alveg dökkur mynd áhugaverður saga uppfærður whoa frekar spookyja vera fatta gagnrýni hérna síða tilviljun kannski kannski ekki
23,24,8,góður will ferrell myndun algjör klassík hægur horfa aftur aftur steve carell fara líka alveg kostur vangefinn veðurfræðingur
24,25,6,eða rogue assass vilja kalla íslandi fínn action mynd byssa kungfa ninjas sprenging jason stathamur alltaf badass bara sleppa taka kjánalegur jet l tala enskur
25,26,6,ágætur fjölskylduvænn mynd fyndinn voði týpískur mynd happyja ending það
26,27,5,ágætur action mynd flottur bíll byssa sprenging gjalla formúla virkur yfirleitt maður frekar mindless týpískur mynd maður lenda vera sýna bíórás maður channel surfa hafa greinilega henda alveg slatti peningur tölvugrafíkseffecta sena greinilega mikill leyti tölvugerð sérstaklega lokinn vera reyndar koma svolítill rugl
27,28,6,maður búa alveg súr mynd geta líka vera gaman sjá þannig mynd fyndinn pure brilliance fínn afþreyingur
28,29,8,náttúrulega klassískur mynd magnaður saga langur kantur tími
