"id","sentiment","review"
1,8,"John McClane er ennþá badass. Fínasta action-mynd og klassískur sumarsmellur."
2,7,"Kannski svolítið róleg á köflum en fín spennumynd."
3,7,"Mögnuð mynd. Tarantino alveg að standa sig."
4,9,"Algjör snilld! Sprenghlægileg. Alveg biðarinnar virði."
5,8,"Töff mynd - og bara nokkuð fyndin. Fínasta skemmtun."
6,8,"Kick ass mynd. Ekta Michael Bay action. Fínasta nostalgía... Samt ekki alveg að kaupa Anthony Anderson sem einhvern mega hakkara ;)"
7,7,"Fín grínmynd. Nóg af góðum one-liners. Maður þarf bara að passa sig að hugsa ekki of mikið ;) Skelltu inn skemmtilegu tribute til <a href=""http://en.wikipedia.org/wiki/Who%27s_on_First%3F"" target=""_blank"">Who's on first?</a>"
8,9,"Non-stop action baby&#33; J&#225;&#44; j&#225;... h&#246;rku spennumynd. &#222;ri&#240;ja myndin er ekki s&#237;&#240;ri en hinar &#40;bara betri ef eitthva&#240; er&#41;. &#222;etta er alveg efni &#237; mega franchise - James Bond &#254;arf a&#240; passa sig &#59;&#41;"
9,2,"Frekar stupid mynd. Martin Lawrence var látinn spila aðeins of mikið út á ""það er farið svo illa með mig af því að ég er svartur"" - þeir brandarar voru ekki alveg að slá í gegn. Ein af þessum myndum sem maður klárar bara til að sjá hvernig hún endar - þótt hún hafi verið frekar fyrirsjáanleg. Fær 1 stjörnu fyrir sæmileg action atriði og aðra stjörnu af því maður gat hlegið 1-2 sinnum."
10,6,"John Travolta og Uma Thurman komin aftur í mynd - þau taka meira að segja smá Pulp Fiction dans. Ekkert óskars-handrit eða leikur - en ágæt afþreying."
11,6,"&#193;g&#230;t superhero mynd&#44; f&#237;nt action. Jessica Alba skemmir heldur ekki fyrir &#59;&#41;"
12,6,"&#201;g var ekki alveg a&#240; f&#237;la hva&#240; sumir hlutar af myndinni v&#246;ru d&#246;kkir - m&#233;r finnst skemmtilegra a&#240; sj&#225; almennilega hva&#240; er a&#240; gerast &#59;&#41; Kannski vildi Baltasar bara hafa sem e&#240;lilegasta l&#253;singu... Skemmtilegt a&#240; sj&#225; hinar &#253;msu &#237;slensku byggingar &#237; n&#253;jum hlutverkum. Hin f&#237;nasta mynd - ma&#240;ur var reyndar stundum ekki alveg a&#240; n&#225; a&#240; fylgja n&#225;kv&#230;mlega hva&#240; var &#237; gangi..."
13,9,"M&#246;gnu&#240; mynd - virkilega flott. T&#246;ff action atri&#240;i - sm&#225; Matrix st&#237;ll &#237; gangi eins og vi&#240; m&#225;tti b&#250;ast. Natalie Portman brillerar eins og venjulega. &#10;&#10;L&#237;ka skemmtilegar p&#230;lingar var&#240;andi hversu miki&#240; vald r&#237;ki&#240; &#225; a&#240; hafa og hva&#240; &#254;&#250; hefur mikil &#225;hrif ef &#254;&#250; r&#230;&#240;ur yfir fj&#246;lmi&#240;lunum."
14,8,"Endalaust fyndin mynd. Með betri grínmyndum sem maður hefur séð nýlega."
15,7,"Bara nokkuð góð mynd. Ef fólk fílar hryllings-spennumyndir þá er þessi málið. Heldur manni alveg á nálum ;)"
16,6,"F&#237;nasta af&#254;reying. &#222;eir sem hafa s&#233;&#240; Lock&#44; Stock.. &#230;ttu a&#240; kannast vi&#240; einn e&#240;a tvo leikara &#59;&#41;"
17,7,"F&#237;nasta mynd - mj&#246;g fyndin og vel ger&#240;. Flott framlag &#237; &#237;slensku kvikmyndafl&#243;runa - meira svona&#44; takk. &#222;eir &#254;urftu n&#225;tt&#250;rulega a&#240; skella inn sm&#225; <a href=""http&#58;//en.wikipedia.org/wiki/Leeroy_Jenkins"" target=""_blank"">Leeroy Jenkins</a> brandara sem takmarka&#240;ur h&#243;pur myndi fatta."
18,6,"Mindless violence. &#193;g&#230;t action/slagsm&#225;la-mynd."
19,8,"Hrikalega fyndin. Miki&#240; af vandr&#230;&#240;alegum br&#246;ndurum &#59;&#41; Magna&#240;ir karakterar... McLovin ma&#240;ur &#58;&#41;"
20,6,"Fínasti vestri... samt eitthvað... manni fannst sumir hlutir svolítið skrítnir. En mjög vel gerð - góður leikur og vel leikstýrð."
21,7,"T&#246;ff mynd. Frekar br&#250;tal &#225; k&#246;flum. Gott st&#246;ff - g&#243;&#240;ir karakterar&#44; gott handrit..."
22,4,"Jahá... með góða (ok, alla veganna vel þekkta) leikara í öllum helstu hlutverkunum er maður eiginlega hálf vonsvikinn að það sé ekki hægt að gera betri mynd. Maður verður eiginlega að kenna handritinu og/eða leikstjóranum um. Myndin átti samt alveg nokkur góð móment - en Uma Thurman var svolítið að ofleika þennan sækó gellu karakter. Síðan var tónlistin aðeins of cheesy - minnti á svona týpíska tónlist sem var ofnotuð í 90's myndum."
23,6,"Varð að tékka á þessari mynd - maður á nú afmæli þann 23. ;) Síðan náttúrulega, Michael Jordan: 23, David Beckham: 23 - talan er alls staðar... :) Já, en með Joel Schumacher bjóst maður nú alveg við nokkuð ""dökkri"" mynd - en þetta er áhugaverð saga.
<br /><br />
<strong>Uppfært:</strong> Whoa! Þetta er frekar spooky - Ég var að fatta að þetta er gagnrýni #23 hérna á síðunni! Tilviljun? Kannski, kannski ekki..."
24,8,"&#222;etta er ein af bestu Will Ferrell myndunum - algj&#246;r klass&#237;k&#44; h&#230;gt a&#240; horfa &#225; hana aftur og aftur. Steve Carell fer l&#237;ka alveg &#225; kostum sem vangefni ve&#240;urfr&#230;&#240;ingurinn."
25,6,"...e&#240;a ""Rogue Assassin"" eins og &#254;eir vilja kalla &#254;etta &#225; &#205;slandi. F&#237;nasta action mynd - byssur&#44; kung-fu&#44; ninjas og sprengingar. Jason Statham er alltaf badass. S&#237;&#240;an bara sleppa &#254;v&#237; a&#240; taka eftir hva&#240; &#254;a&#240; er kj&#225;nalegt &#254;egar Jet Li talar ensku &#59;&#41;"
26,6,"&#193;g&#230;t fj&#246;lskylduv&#230;n mynd. Nokku&#240; fyndin... Vo&#240;a t&#253;p&#237;sk mynd me&#240; happy ending og allt &#254;a&#240;."
27,5,"Ágæt action mynd. Flottir bílar, byssur, sprengingar og gellur - formúla sem virkar yfirleitt á mann. Frekar mindless - týpísk mynd sem maður lendir á af því að það er verið að sýna hana á bíórásinni þegar maður er að channel surfa ;) En þeir hafa greinilega hent alveg slatta af peningum í tölvugrafíks-effecta - sumar senur voru greinilega að miklu leyti tölvugerðar. Sérstaklega í lokinn, þegar þetta var reyndar komið út í svolítið rugl..."
28,6,"Ma&#240;ur bj&#243;st n&#250; alveg vi&#240; s&#250;rri mynd... en &#254;a&#240; getur l&#237;ka veri&#240; gaman a&#240; sj&#225; &#254;annig myndir &#58;&#41; Nokku&#240; fyndin. Ekkert pure brilliance - en f&#237;nasta af&#254;reying."
29,8,"&#222;etta er n&#225;tt&#250;rulega klass&#237;sk mynd - m&#246;gnu&#240; saga... En h&#250;n er &#237; lengri kantinum &#59;&#41; &#40;yfir 3 t&#237;mar&#41;."
30,6,"Spooky mynd. Hún er byggð á japanskri bók &amp; bíómynd og það er svolítið sérstök stemmning eins og er oft í þannig myndum. Endirinn er frekar intense - upplagt ef maður fílar smá adrenalín kick ;) Litla stelpan (Ariel Gade) var að standa sig mjög vel. Jennifer Connelly er náttúrulega líka mjög góð (eins og ávalt)."
31,8,"Virkilega t&#246;ff mynd - Denzel er alveg hardcore gangsta. Ridley Scott alveg a&#240; standa sig. Mj&#246;g g&#243;&#240; action atri&#240;i. Myndin leit mj&#246;g vel &#250;t - greinilega miki&#240; lagt &#237; a&#240; l&#225;ta &#254;etta l&#237;ta &#250;t fyrir a&#240; gerast 1970. E&#240;a eitthva&#240;... allavega&#44; mj&#246;g vel ger&#240; mynd &#237; alla sta&#240;i. Frasi myndarinnar&#58; ""My man..."" &#59;&#41;"
32,9,"Virkilega góð mynd. Gott dæmi um mynd með fullt af góðum leikurum sem gengur upp. Eins og ég sagði <a href=""http://www.officialstation.com/2006/11/12/jagshemash/"">þegar ég sá hana fyrst</a> þá er þetta hörku handrit - hellingur af twist &amp; turns, allir að svíkja alla - en samt ekki of flókið þannig að þetta var komið út í rugl. Martin Scorsese fékk loksins Óskarinn, átti það sannarlega skilið."
33,7,"Nokku&#240; g&#243;&#240; mynd. Skemmtileg p&#230;ling a&#240; mannkyni&#240; geti allt &#237; einu ekki fj&#246;lga&#240; s&#233;r... L&#237;ka skemmtilegt a&#240; sj&#225; eitthva&#240; anna&#240; land en USA sem &#225; a&#240; bjarga heiminum &#59;&#41; Allar borgir &#237; heiminum eru &#237; r&#250;sti - ""Only Britain soldiers on"". S&#237;&#240;an var &#254;etta meiri str&#237;&#240;smynd en &#233;g bj&#243;st vi&#240; - allavega kaflar sem mynntu svol&#237;ti&#240; &#225; Saving Private Ryan e&#240;a Black Hawk Down."
34,5,"Ekkert meistaraverk... en &#233;g meina&#44; Jessica Alba &#59;&#41;"
35,7,"Fínasta action mynd. Maður á náttúrulega að fara á svona myndir með það í huga að láta skemmta sér - ekkert að hafa of miklar áhyggjur af snilldar söguþræði eða stórleik. Rússneskar gellur þurfa heldur ekkert að leika frábærlega ;) Nóg af sprengingum, byssubardögum, sverðbardögum... og allt vel að staðið í þeirri deild. Síðan voru þeir ekkert að spara gerviblóðið - nettur splatter í gangi ;) Bara mjög töff mynd - líka ágætlega fyndin á köflum."
36,5,"Voða klassískt Futurama dót - eiginlega bara eins og mjög, mjög langur þáttur. Ekkert brillíant eða stanslaust fyndið, en alveg hægt að hafa gaman að þessu..."
37,6,"Mj&#246;g d&#246;kk og drungaleg mynd - eiginlega svol&#237;ti&#240; ""spes"". En nokku&#240; vel leikin."
38,7,"K&#250;l mynd. H&#246;rku spenna. Ekta sumar-spennumynd - hef&#240;i &#246;rugglega veri&#240; gaman a&#240; sj&#225; &#254;essa &#237; b&#237;&#243;."
39,5,"Bull og vitleysa - en maður bjóst alveg við því :) Alveg hægt að hlæja að þessu. Líka áhugaverðar pælingar - hvaða ""þjóðhópar"" eru að fjölga sér mest? Það er ekkert endilega ""survival of the fittest"" sem gildir lengur..."
40,8,"Feel good mynd + Will Ferrell sem álfur = Sprenghlægileg jólamynd. Held ég bara ein besta jólamynd sem ég hef séð."
41,7,"Simon Pegg klikkar ekki. Mjög fyndin mynd - snilldar karakterar. David Schwimmer stendur sig bara nokkuð vel sem leikstjóri. Að mörgu leyti klassísk hetjumynd (svona ""from zero to hero"")."
42,6,"Hmm... ok, ég hef líklega séð hana áður - á Bíórásinni eða eitthvað. Eftir fyrstu mínúturnar fannst mér ég kannast við of mikið - ""það getur ekki verið að ég hafi séð svona mikið í trailer-num..."" ;) Það er einn kostur við að vera með svona síðu þar sem maður skráir niður þær kvikmyndir sem maður horfir á - það eru minni líkur að ég horfi ""óvart"" á bíómynd sem ég hef séð áður ;) En þessi mynd er mjög vel leikstýrð, vel gerð og vel leikin. En svolítið ""þung"" á köflum - dramatísk, hæg, ekki endilega mikið tal... Myndin er líka mjög ""raunveruleg"" - ekkert of mikið af ""hollywood effects""..."
43,7,"Góð jólamynd :) John McClane er alltaf badass. Minnir svolítið á Jack Bauer - útsjónarsamur og þolir (nánast) endalausan sársauka ;)"
