sentiment,review
positive,john mcclane er ennþá badass. fínasta actionmynd og klassískur sumarsmellur.
positive,kannski svolítið róleg á köflum en fín spennumynd.
positive,mögnuð mynd. tarantino alveg að standa sig.
positive,algjör snilld! sprenghlægileg. alveg biðarinnar virði.
positive,töff mynd  og bara nokkuð fyndin. fínasta skemmtun.
positive,kick ass mynd. ekta michael bay action. fínasta nostalgía... samt ekki alveg að kaupa anthony anderson sem einhvern mega hakkara ;
positive,fín grínmynd. nóg af góðum oneliners. maður þarf bara að passa sig að hugsa ekki of mikið ; skelltu inn skemmtilegu tribute til whos on first?
positive,"nonstop action baby! já, já... hörku spennumynd. þriðja myndin er ekki síðri en hinar bara betri ef eitthvað er. þetta er alveg efni í mega franchise  james bond þarf að passa sig ;"
negative,frekar stupid mynd. martin lawrence var látinn spila aðeins of mikið út á það er farið svo illa með mig af því að ég er svartur  þeir brandarar voru ekki alveg að slá í gegn. ein af þessum myndum sem maður klárar bara til að sjá hvernig hún endar  þótt hún hafi verið frekar fyrirsjáanleg. fær  stjörnu fyrir sæmileg action atriði og aðra stjörnu af því maður gat hlegið  sinnum.
positive,john travolta og uma thurman komin aftur í mynd  þau taka meira að segja smá pulp fiction dans. ekkert óskarshandrit eða leikur  en ágæt afþreying.
positive,"ágæt superhero mynd, fínt action. jessica alba skemmir heldur ekki fyrir ;"
positive,ég var ekki alveg að fíla hvað sumir hlutar af myndinni vöru dökkir  mér finnst skemmtilegra að sjá almennilega hvað er að gerast ; kannski vildi baltasar bara hafa sem eðlilegasta lýsingu... skemmtilegt að sjá hinar ýmsu íslensku byggingar í nýjum hlutverkum. hin fínasta mynd  maður var reyndar stundum ekki alveg að ná að fylgja nákvæmlega hvað var í gangi...
positive,mögnuð mynd  virkilega flott. töff action atriði  smá matrix stíll í gangi eins og við mátti búast. natalie portman brillerar eins og venjulega.   líka skemmtilegar pælingar varðandi hversu mikið vald ríkið á að hafa og hvað þú hefur mikil áhrif ef þú ræður yfir fjölmiðlunum.
positive,endalaust fyndin mynd. með betri grínmyndum sem maður hefur séð nýlega.
positive,bara nokkuð góð mynd. ef fólk fílar hryllingsspennumyndir þá er þessi málið. heldur manni alveg á nálum ;
positive,"fínasta afþreying. þeir sem hafa séð lock, stock.. ættu að kannast við einn eða tvo leikara ;"
positive,"fínasta mynd  mjög fyndin og vel gerð. flott framlag í íslensku kvikmyndaflóruna  meira svona, takk. þeir þurftu náttúrulega að skella inn smá leeroy jenkins brandara sem takmarkaður hópur myndi fatta."
positive,mindless violence. ágæt actionslagsmálamynd.
positive,hrikalega fyndin. mikið af vandræðalegum bröndurum ; magnaðir karakterar... mclovin maður :
positive,fínasti vestri... samt eitthvað... manni fannst sumir hlutir svolítið skrítnir. en mjög vel gerð  góður leikur og vel leikstýrð.
positive,"töff mynd. frekar brútal á köflum. gott stöff  góðir karakterar, gott handrit..."
negative,"jahá... með góða ok, alla veganna vel þekkta leikara í öllum helstu hlutverkunum er maður eiginlega hálf vonsvikinn að það sé ekki hægt að gera betri mynd. maður verður eiginlega að kenna handritinu ogeða leikstjóranum um. myndin átti samt alveg nokkur góð móment  en uma thurman var svolítið að ofleika þennan sækó gellu karakter. síðan var tónlistin aðeins of cheesy  minnti á svona týpíska tónlist sem var ofnotuð í s myndum."
positive,"varð að tékka á þessari mynd  maður á nú afmæli þann . ; síðan náttúrulega, michael jordan: , david beckham:   talan er alls staðar... : já, en með joel schumacher bjóst maður nú alveg við nokkuð dökkri mynd  en þetta er áhugaverð saga.  uppfært: whoa! þetta er frekar spooky  ég var að fatta að þetta er gagnrýni  hérna á síðunni! tilviljun? kannski, kannski ekki..."
