review,sentiment
"Frekar stupid mynd. Martin Lawrence var látinn spila aðeins of mikið út á það er farið svo illa með mig af því að ég er svartur  þeir brandarar voru ekki alveg að slá í gegn. Ein af þessum myndum sem maður klárar bara til að sjá hvernig hún endar  þótt hún hafi verið frekar fyrirsjáanleg. Fær  stjörnu fyrir sæmileg action atriði og aðra stjörnu af því maður gat hlegið  sinnum.",Negative
"Jahá... með góða ok, alla veganna vel þekkta leikara í öllum helstu hlutverkunum er maður eiginlega hálf vonsvikinn að það sé ekki hægt að gera betri mynd. Maður verður eiginlega að kenna handritinu ogeða leikstjóranum um. Myndin átti samt alveg nokkur góð móment  en Uma Thurman var svolítið að ofleika þennan sækó gellu karakter. Síðan var tónlistin aðeins of cheesy  minnti á svona týpíska tónlist sem var ofnotuð í s myndum.",Negative
"Ég trúi því varla að maður hafi horft á þetta til enda... en svona er þetta, maður er bara að tjilla með fjölskyldunni og þetta er það sem er verið að glápa á. Ein væmnasta mynd sem ég hef séð. En það er svosem ekkert hræðilegt að glápa á Cameron Diaz ; Síðan voru líka nokkur moment sem voru ágætlega fyndin.",Negative
"Úff... bara slæm mynd. En þetta er ein af þessum myndum sem maður veit að er léleg en horfir á bara til að hlæja að hvað hún er léleg. Temmilega illa leikin og handritið er eins og því hafi verið hent saman í auglýsingahléi á Two and a Half Men  meikaði ekki sens á köflum...",Negative
"Úff... temmilega stupid mynd. Algjör frat boy mynd  brjóst og prumphúmor... Hellingur af þekktum nöfnum  þeir hafa greinilega viljað leika sér aðeins, flippa út og fíflast og ákveðið að búa til svona illa súra mynd í gamni. etta er sería af misfyndnum sketsum með mjög lausum söguþræði...",Negative
"Hreint út sagt stórkostlegt kvikmyndalistaverk! Neh... frekar slöpp. Leikarar voru engan veginn að standa sig, handritið var wack og ekki mikið í gangi til að hjálpa þessari mynd... þetta er meira svona Bmynd sem maður horfir á til að hlæja að.",Negative
"Ýmislegt sem kom ekki á óvart... unnt handrit  stundum eiginlega fáránlegt. Lélegur leikur. gæt spenna á köflum. Hellingur af effektum sem hefði örugglega verið kúl að sjá í D bíó. etta er svona mynd sem maður horfir á þegar maður nennir ekki að gera neitt annað og nennir ekki að leita að neinu öðru hóstþynnkahóst.",Negative
"Léttmeti. Bjóst nú við heilalausri action mynd... En þetta var kannski aðeins of heilalaust. Action atriðin voru ekkert sérstök, ekkert sem maður hefur ekki séð áður. Handritið var mjög þunnt  slatti af oneliners sem misstu marks. Hellingur af tölvugrafík... stundum var þetta nú ekki alveg nógu vandað, ekki nógu raunverulegteðlilegt. Hvað var síðan málið með bílinn sem Paul Walker var að keyra seinni helminginn, bara ljótur...",Negative
"Temmilega súr mynd. Nóg af þekktum leikurum... gætlega spaugleg á köflum. Söguþráðurinn var samt hálf slappur.",Negative
"Elsta kvikmynd sem ég hef horft á. Horfði á hana á theauteurs.com. hugavert að horfa á mynd sem var gerð fyrir meira en  árum. Magnaðir special effects í gangi ;",Negative
"Frekar kjánaleg. Nóg af blóði  alveg extreme mikið af blóði að sprautast út um allt, nettur splatter. Nóg af action og ninja bardögum sem voru ágætlega kúl. Meira supernatural en ég bjóst við. Hmm... þetta var leikstýrt af James McTeigue sem leikstýrði líka V for Vendetta. Honum tókst greinilega ekki alveg nógu vel í þetta skiptið  líklega af því að það voru ekki jafn góðir leikarar og jafn gott handrit. Eins og með V þá var þessi mynd líka framleidd af Wachowski duoinu og Joel Silver. Maður var alveg að sjá smá Matrix effecta í bardögunum...",Negative
"Frekar kjánaleg mynd. Alveg slatti af atriðum þar sem manni brá  en maður hló líka ótrúlega oft aðeins of silly fyrir hryllingsmynd. gætlega spennandi en alveg formúluhryllingsmynd. Kannski að maður horfi á upprunalegu myndina til að bera saman...",Negative
"Flottar tæknibrellur. En frekar kjánaleg, eiginlega of. Handritið hefði mátt vera betra. Sumar persónurnarhluti af þessum söguheimi var hálf skrítinnekki nógu trúverðugur. Kjánalega fyndin óviljandi.Smá auka punktur: g sá hana í D í Halifax, Kanada.",Negative
"Spes. Voða arty. Amman var fyndinn karakter. RIFF",Negative
"Eða Skaði eins og hún er kölluð á íslensku. Vel gerð. Nokkuð gott handrit. RIFF",Negative
"Geðveiki. Drama. hugavert að sjá svona pólskt partý. RIFF",Negative
"Löng og langdregin hæg. Söngur og dans. Fyrirsjáanleg. að gerist nánast aldrei að maður spóli áfram í gegnum mynd, en það var gert með þessa mynd.",Negative
"Ágætlega fyndin á köflum, smá kjánaleg hina kaflana. Handritið ekkert æðislegt. essi mynd eldist ekkert mjög vel.",Negative
"Áhugaverð scifi mynd og framtíðarpælingar. Spennandi á köflum. En endirinn seinni hlutinn var frekar skrýtinn... einkennilegt flæði og atburðarás, eins og það hafi eitthvað verið sparað í handritsvinnunni þar.",Negative
"Alveg hægt að hlæja að nokkrum atriðum. En handritið, leikurinn og flæðið hefði getað verið betra. Stundum smá kjánalegt.",Negative
"Frekar kjánaleg mynd. Handritið og leikurinn var ekki æðislegt. Aðeins of mikið að reyna vera með djúpa og vitsmunalega profound punkta  enda myndin byggð á sjálfshjálparbók.",Negative
"Smá fyndin á köflum. Varð mjög kjánaleg í lokinn.",Negative
"Mikil vitleysa. Mikið um slapstick og fratboy húmor.",Negative
"Handritið var mjög takmarkað  margt sem meikað lítið sem ekkert sense. Smá spennandi á köflum, en oft frekar kjánaleg.",Negative
"Skrýtin flippuð mynd  Willy Wonka var smá creepy. Meira krakkamynd  húmor í stíl við það.",Negative
"Mjög kjánaleg mynd, eins og við mátti búast  bull  vitleysa. En fyndin á köflum.",Negative
"Spes mynd. Meira drama en ég bjóst við. Kaldursvarturþurr húmor. hugavert plot.",Negative
"Fyndin. Fín afþreying. En engin snilld.",Negative
"Svo klisjukennt og fyrirsjáanlegt. Lélegtskrýtið handrit. Kjánaleg mynd. En stundum er gaman að horfa á lélegar myndir. netflix",Negative
"Önnur klisjukennd og fyrirsjáanleg mynd. Ekki gott handrit  mikið af vandræðalegum og þvinguðum væmnum atriðum. netflix",Negative
"Væmin. Klisjukennd. Frekar fyrirsjáanleg. Ekkert svakalega gott handrit  oft þurr og vandræðaleg samtöl. Fín áminning að það er ýmislegt sem gefur til kynna að það sé betra að horfa á björtu hliðarnar og vona það besta.",Negative
"Eins og ég bjóst við var þetta ekki æðisleg mynd. Handritið var frekar þunnt. Allt frekar fyrirsjáanlegt. En alveg hægt að hlæja að nokkrum atriðum  mikið sillycrazy í gangi. Sem betur fer mjög stutt mynd.",Negative
"Mjög vandræðaleg og kjánaleg mynd. Stundum voru lögin og lagatextinn jafnvel líka kjánalegur. Frekar lélegt handrit og lélegur leikur. Markhópurinn er líklega ca.  ára krakkar. netflix",Negative
"Fínasta barnamynd. Fallega teiknuð. En margar barnamyndir passa upp á að hafa skemmtanagildi líka fyrir foreldrana  þessi er bara að hugsa um krakkana og gerir það ágætlega.",Negative
"Þetta hefði alveg getað verið Bridgerton þáttur  nema að þeir þættir eru meira spennandi og með þéttari keyrslu. Hæg mynd og ekki mjög mikið að gerast. Frekar yfirborðskenndar persónur. netflix",Negative
"Drama. Klisja. Mjög amerísk mynd. Sofia Carson er flott söngkona. netflix",Negative
"Smá fyndin inn á milli. En mikið um ódýra brandara. Handritið var mjög slappt. að hefði verið hægt að gera betri mynd í kringum þetta concept. netflix",Negative
"Gaman að sjá íslenska jólamynd. En mörg atriðin voru óþarflega löng. að vantaði einhvern heildstæðan söguþráð  smá tilviljanakennd atriði og lítið sem ekkert mómentum á sögunni. msir misvelheppnaðir brandarar. En Aníta skemmti sér ????",Negative
"Veit ekki alveg með þessa mynd. Ekki góð gæði á grafíkinni og saganhandritið frekar slappt... Smá skrýtið vibe. disneyplus",Negative
"Mjög barnaleg mynd  handritið, leikurinn o.s.frv. Stundum smá eins og Latabæjarþáttur. annig að þetta virkaði alveg fyrir markhópinn krakka  en ekki beint fyrir alla fjölskylduna eins og margar góðar fjölskyldumyndir. netflix",Negative
"Svakaleg vitleysa. Mikið af kjánalegum húmor. Smá fyndin inn á milli. Smá spennandi. amazonprime",Negative
"Áhugavert að sjá hvernig kvikmyndagerð var  Star Wars: Episode IV kom út  árum seinna. Flæðið og klippingin var ekki eins smooth og hún er núna. Nett hippa stemning. Ekkert fáránlega vel leikin. Meira skrítinfreakybizarre en ég bjóst við. Frekar stuttur credit listi.",Negative
